Case	Project	pos. predictive value rate	true positive rate
POP	EggNOG	0.986 +- 0.02722	0.6845 +- 0.0897505
POP	PANTHER 8.0 (all)	0.9903 +- 0.0189365	0.9903 +- 0.0189365
POP	RBH / BBH	0.9837 +- 0.0258787	0.8786 +- 0.0630636
POP	RSD 0.8 1e-5 Deluca	0.9838 +- 0.0257403	0.8835 +- 0.0619599
POP	metaPhOrs incomplete	0.9848 +- 0.0240633	0.9466 +- 0.0434192
POP	orthoinspector 1.30 (blast threshold 10-9)	0.9614 +- 0.0371351	0.966 +- 0.0349903
POP	phylomeDB	0.9882 +- 0.0229228	0.8155 +- 0.0749061
POP	Ensembl Compara (e81)	0.841 +- 0.0725809	0.7961 +- 0.0778066
POP	Hieranoid 2	0.9891 +- 0.021188	0.8835 +- 0.0619599
POP	InParanoid	0.9701 +- 0.0332715	0.9466 +- 0.0434192
POP	InParanoidCore	0.9684 +- 0.035166	0.8932 +- 0.0596472
POP	OMA GETHOGs	0.989 +- 0.0214197	0.8738 +- 0.0641348
POP	OMA Groups (RefSet5)	0.9858 +- 0.0276033	0.6748 +- 0.0904722
POP	PANTHER 8.0 (LDO only)	0.9897 +- 0.0199997	0.9369 +- 0.0469591
POP	OMA Pairs (Refset5)	0.9878 +- 0.0237565	0.7864 +- 0.0791505
PSEN	EggNOG	0.9897 +- 0.0199997	0.9847 +- 0.0243064
PSEN	PANTHER 8.0 (all)	0.9886 +- 0.0221454	0.8878 +- 0.0624991
PSEN	RBH / BBH	0.982 +- 0.0349957	0.5561 +- 0.0983694
PSEN	RSD 0.8 1e-5 Deluca	0.9817 +- 0.0356316	0.5459 +- 0.0985767
PSEN	metaPhOrs incomplete	0.9878 +- 0.0237565	0.8265 +- 0.0749694
PSEN	orthoinspector 1.30 (blast threshold 10-9)	0.9889 +- 0.0216569	0.9082 +- 0.0571786
PSEN	phylomeDB	0.9877 +- 0.0239008	0.8214 +- 0.0758287
PSEN	Ensembl Compara (e81)	0.9897 +- 0.0199997	0.9847 +- 0.0243064
PSEN	Hieranoid 2	0.9886 +- 0.0221454	0.8878 +- 0.0624991
PSEN	InParanoid	0.9867 +- 0.0259587	0.7551 +- 0.085141
PSEN	InParanoidCore	0.9796 +- 0.0395896	0.4898 +- 0.0989744
PSEN	OMA GETHOGs	0.9886 +- 0.0221454	0.8878 +- 0.0624991
PSEN	OMA Groups (RefSet5)	0.9474 +- 0.100407	0.1837 +- 0.0766651
PSEN	PANTHER 8.0 (LDO only)	0.975 +- 0.0483838	0.398 +- 0.0969114
PSEN	OMA Pairs (Refset5)	0.9826 +- 0.0337894	0.5765 +- 0.0978285
RPS	EggNOG	0.92 +- 0.150397	0.5 +- 0.204344
RPS	PANTHER 8.0 (all)	0.9565 +- 0.0833443	0.9565 +- 0.0833443
RPS	RBH / BBH	0.9394 +- 0.115132	0.6739 +- 0.191585
RPS	RSD 0.8 1e-5 Deluca	0.9394 +- 0.115132	0.6739 +- 0.191585
RPS	metaPhOrs incomplete	0.9355 +- 0.122304	0.6304 +- 0.197269
RPS	orthoinspector 1.30 (blast threshold 10-9)	0.9259 +- 0.139705	0.5435 +- 0.20357
RPS	phylomeDB	0.92 +- 0.150397	0.5 +- 0.204344
RPS	Ensembl Compara (e81)	0.92 +- 0.150397	0.5 +- 0.204344
RPS	Hieranoid 2	0.9091 +- 0.16989	0.4348 +- 0.202598
RPS	InParanoid	0.9444 +- 0.105821	0.7391 +- 0.179459
RPS	InParanoidCore	0.8462 +- 0.277375	0.2391 +- 0.174327
RPS	OMA GETHOGs	0.9565 +- 0.0833443	0.9565 +- 0.0833443
RPS	OMA Groups (RefSet5)	0.8824 +- 0.2166	0.3261 +- 0.191585
RPS	PANTHER 8.0 (LDO only)	0.9048 +- 0.177555	0.413 +- 0.20123
RPS	OMA Pairs (Refset5)	0.9333 +- 0.126236	0.6087 +- 0.199457
SERC	EggNOG	0.9968 +- 0.00630225	0.571 +- 0.0416679
SERC	PANTHER 8.0 (all)	0.9656 +- 0.0165676	0.8284 +- 0.0317411
SERC	RBH / BBH	0.9941 +- 0.0115633	0.31 +- 0.0389355
SERC	RSD 0.8 1e-5 Deluca	0.994 +- 0.0116665	0.3072 +- 0.0388392
SERC	metaPhOrs incomplete	0.9978 +- 0.00426551	0.845 +- 0.0304671
SERC	orthoinspector 1.30 (blast threshold 10-9)	0.9976 +- 0.00465557	0.774 +- 0.0352119
SERC	phylomeDB	0.9977 +- 0.00448	0.8044 +- 0.0333926
SERC	Ensembl Compara (e81)	0.9746 +- 0.0144694	0.8155 +- 0.0326562
SERC	Hieranoid 2	0.9964 +- 0.00582997	0.7555 +- 0.036182
SERC	InParanoid	0.9974 +- 0.00504505	0.714 +- 0.0380432
SERC	InParanoidCore	0.995 +- 0.00967891	0.3708 +- 0.0406661
SERC	OMA GETHOGs	0.9461 +- 0.0190827	0.9391 +- 0.0201318
SERC	OMA Groups (RefSet5)	0.9911 +- 0.0173446	0.2057 +- 0.0340313
SERC	PANTHER 8.0 (LDO only)	0.9941 +- 0.0114619	0.3127 +- 0.0390306
SERC	OMA Pairs (Refset5)	0.9887 +- 0.0110572	0.643 +- 0.0403365
SUMF	EggNOG	0.95 +- 0.0955186	0.95 +- 0.0955186
